source,published_date,url,title,text_len,status
IrishTimes,2025-10-01,https://www.irishtimes.com/business/2025/10/01/european-shares-close-at-record-high-as-healthcare-outperforms/,European shares close at record high as healthcare outperforms,3999,ok
IrishTimes,2025-10-01,https://www.irishtimes.com/business/2025/10/01/hospitality-industry-more-likely-to-pass-on-vat-hikes-than-cuts-ifac-study-finds/,"Hospitality industry more likely to pass on VAT hikes than cuts, Ifac study finds",3339,ok
IrishTimes,2025-10-01,https://www.irishtimes.com/business/economy/2025/10/01/cross-border-trade-now-oasis-of-calm-businesses-told/,"Trade between Republic and Northern Ireland now ‘an oasis of calm’, businesses told",3293,ok
IrishTimes,2025-10-01,https://www.irishtimes.com/world/us/2025/10/01/us-government-shutdown-standoff-could-lead-to-thousands-of-federal-job-losses/,US government shutdown: standoff could lead to thousands of federal job losses,4037,ok
IrishTimes,2025-10-02,https://www.irishtimes.com/business/2025/10/02/china-looks-to-national-day-holiday-to-boost-consumer-spending/,China looks to National Day holiday to boost consumer spending,2071,ok
IrishTimes,2025-10-02,https://www.irishtimes.com/business/2025/10/02/markets-cautious-as-us-government-shutdown-enters-second-day/,Markets cautious as US government shutdown enters second day,3867,ok
IrishTimes,2025-10-02,https://www.irishtimes.com/special-reports/2025/10/02/facilitating-future-growth-could-pension-funds-plug-the-scaling-finance-gap/,Facilitating future growth: Could pension funds plug the scaling finance gap?,5653,ok
IrishTimes,2025-10-02,https://www.irishtimes.com/special-reports/2025/10/02/scale-sector-resilience-growth-the-crucial-factors-for-private-equity-investors/,"‘Scale, sector resilience, growth’: The crucial factors for private equity investors",6017,ok
IrishTimes,2025-10-02,https://www.irishtimes.com/special-reports/2025/10/02/sowing-the-seeds-of-success-how-founders-should-approach-early-stage-funding/,Sowing the seeds of success: How founders should approach early-stage funding,4818,ok
IrishTimes,2025-10-03,https://www.irishtimes.com/business/2025/10/03/americans-saved-the-tourism-sector-this-year-but-will-that-continue/,"Americans saved the tourism sector this year, but will that continue?",11528,ok
IrishTimes,2025-10-03,https://www.irishtimes.com/business/2025/10/03/irish-shares-end-the-week-on-the-up/,Irish shares end the week on the up,3834,ok
IrishTimes,2025-10-03,https://www.irishtimes.com/politics/2025/10/03/next-presidential-election-tv-debate-should-be-a-decidedly-more-lively-affair/,Next presidential election TV debate should be a decidedly more lively affair,8788,ok
IrishTimes,2025-10-04,https://www.irishtimes.com/opinion/2025/10/04/cliff-taylor-six-key-points-to-watch-in-a-politcally-explosive-budget/,Cliff Taylor: Six key points to watch in a politcally explosive budget,6758,ok
IrishTimes,2025-10-04,https://www.irishtimes.com/your-money/2025/10/04/pre-budget-figures-show-significant-surplus-in-prospect-for-2026/,Pre-budget figures show significant surplus in prospect for 2026,2600,ok
IrishTimes,2025-10-05,https://www.irishtimes.com/world/middle-east/2025/10/05/after-two-years-of-israeli-bombardment-what-is-left-of-gaza/,"After two years of Israeli bombardment, what is left of Gaza?",16540,ok
IrishTimes,2025-10-06,https://www.irishtimes.com/business/2025/10/06/sale-of-energia-and-all-eyes-on-budget-2026/,"Sale of Energia, and all eyes on Budget 2026",2384,ok
IrishTimes,2025-10-06,https://www.irishtimes.com/business/2025/10/06/uncertainty-over-construction-projects-is-forcing-irish-expertise-to-go-abroad/,Uncertainty over construction projects is ‘forcing Irish expertise to go abroad’,4049,ok
IrishTimes,2025-10-06,https://www.irishtimes.com/business/economy/2025/10/06/ecb-executives-talk-down-chances-of-further-cut-in-interest-rates/,ECB executives talk down chances of further cut in interest rates,2848,ok
IrishTimes,2025-10-06,https://www.irishtimes.com/opinion/letters/2025/10/06/letters-to-the-editor-october-6th-on-judging-a-childs-behaviour-the-presidency-and-random-acts-of-kindness/,"Letters to the Editor, October 6th: On judging a child’s behaviour, the presidency and random acts of kindness",12916,ok
IrishTimes,2025-10-06,https://www.irishtimes.com/politics/2025/10/06/governments-basic-income-for-artists-pilot-scheme-sparks-international-interest/,Numerous countries express interest in Government’s basic income for artists pilot scheme,3818,ok
IrishExaminer,2025-10-07,https://www.irishexaminer.com/business/economy/arid-41719683.html,Nicola Quinn: Was this a pro-business Budget?,1088,ok
IrishTimes,2025-10-07,https://www.irishtimes.com/business/2025/10/07/budget-ireland-2026-updates-latest/,Budget unveiled with national minimum wage to rise and VAT rate for completed apartments cut,81200,ok
