source,published_date,month,title,url,text_len,econ_hit,uncertainty_hit,policy_hit
IrishTimes,2025-01-01,2025-01-01,The Irish Times view on the climate crisis: political courage to act is missing,https://www.irishtimes.com/opinion/editorials/2025/01/01/the-irish-times-view-on-the-climate-crisis-political-courage-to-act-is-missing/,5147,1,1,1
IrishTimes,2025-01-01,2025-01-01,Russian gas stops flowing through Ukraine,https://www.irishtimes.com/world/europe/2025/01/01/russian-gas-stops-flowing-through-ukraine/,5131,1,1,1
IrishTimes,2025-01-02,2025-01-01,Let’s get real: Ireland’s data centre boom is driving up fossil fuel dependence,https://www.irishtimes.com/environment/climate-crisis/2025/01/02/lets-get-real-irelands-data-centre-boom-is-driving-up-fossil-fuel-dependence/,5351,1,1,1
IrishTimes,2025-01-03,2025-01-01,Apple’s China troubles mount as foreign phone sales in the country sink for fourth month,https://www.irishtimes.com/business/2025/01/03/apples-china-troubles-mount-as-foreign-phone-sales-sink-for-fourth-month/,1661,1,1,1
IrishTimes,2025-01-03,2025-01-01,"Ireland’s future weather will be even warmer and wetter than predicted, scientists warn",https://www.irishtimes.com/environment/climate-crisis/2025/01/03/ireland-will-be-warmer-and-wetter-than-predicted-due-to-climate-disruption-scientists-warn/,5882,1,1,1
IrishTimes,2025-01-04,2025-01-01,Cliff Taylor: Investors are betting on Trump not keeping his promises. We’d better hope they’re right,https://www.irishtimes.com/opinion/2025/01/04/investors-are-betting-on-trump-not-keeping-his-promises-wed-better-hope-theyre-right/,7008,1,1,1
IrishTimes,2025-01-04,2025-01-01,Irish dealmaking rises 5% in 2024 to buck global trend,https://www.irishtimes.com/business/2025/01/04/irish-dealmaking-rises-5-in-2024-to-buck-global-trend/,4485,1,1,1
IrishTimes,2025-01-04,2025-01-01,Latin America’s female new wave finds its voice,https://www.irishtimes.com/culture/books/review/2025/01/04/latin-americas-female-new-wave-finds-its-voice/,10595,1,1,1
IrishTimes,2025-01-04,2025-01-01,Housing crisis unlikely to improve in short term under ‘conservative’ targets,https://www.irishtimes.com/ireland/housing-planning/2025/01/04/irelands-housing-crisis-unlikely-to-improve-in-2025-says-academic/,10303,1,1,1
IrishExaminer,2025-01-05,2025-01-01,Climate change must take priority in programme for Government,https://www.irishexaminer.com/opinion/commentanalysis/arid-41547838.html,1143,1,1,1
IrishExaminer,2025-01-05,2025-01-01,Jim Power: Government must focus more on SME sector,https://www.irishexaminer.com/business-columnists/arid-41547886.html,858,1,1,1
IrishTimes,2025-01-05,2025-01-01,The Irish Times view on the government formation talks: vital to focus on priorities and delivery,https://www.irishtimes.com/opinion/editorials/2025/01/05/the-irish-times-view-on-the-government-formation-talks-vital-to-focus-on-priorities-and-delivery/,2802,1,1,1
IrishTimes,2025-01-05,2025-01-01,Freedom of religion an empty formula unless places to worship available,https://www.irishtimes.com/opinion/2025/01/05/freedom-of-religion-an-empty-formula-unless-places-to-worship-available/,5752,1,1,1
IrishExaminer,2025-01-06,2025-01-01,David McNamara: Ireland is exposed if geopolitics begin to bite in 2025,https://www.irishexaminer.com/business-columnists/arid-41548303.html,649,1,1,1
IrishTimes,2025-01-06,2025-01-01,China rushes to reassure investors as equities and renminbi fall,https://www.irishtimes.com/business/markets/2025/01/06/china-rushes-to-reassure-investors-as-equities-and-renminbi-fall/,4037,1,1,1
